testkevin0	Unassigned;Other
testkevin318	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae
testkevin319	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae
testkevin320	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
testkevin321	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae
testkevin322	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]
testkevin323	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]
testkevin324	k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98;f__
testkevin325	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae
testkevin326	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;Other
testkevin327	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae
testkevin328	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae
testkevin329	k__Bacteria;p__GN02;c__3BR-5F;o__;f__
testkevin330	k__Bacteria;p__Gemmatimonadetes;c__Gemm-2;o__;f__
testkevin331	k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__
testkevin332	k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__;f__
testkevin333	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__
testkevin334	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae
testkevin335	k__Bacteria;p__OP1;c__[Acetothermia];o__[Acetothermales];f__
testkevin336	k__Bacteria;p__OP8;c__OP8_2;o__;f__
testkevin337	k__Bacteria;p__Planctomycetes;Other;Other;Other
testkevin338	k__Bacteria;p__Planctomycetes;c__;o__;f__
testkevin339	k__Bacteria;p__Planctomycetes;c__OM190;o__agg27;f__
testkevin340	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;Other;Other
testkevin341	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__
testkevin342	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__mle1-8;f__
testkevin343	k__Bacteria;p__Proteobacteria;Other;Other;Other
testkevin344	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other;Other
